u,v,weight,road_type
N301,N322,13.83,arterial
N301,N316,18.82,arterial
N301,N320,21.29,arterial
N302,N312,11.39,arterial
N302,N309,17.11,arterial
N302,N341,22.91,arterial
N302,N329,28.55,arterial
N302,N328,34.7,arterial
N303,N337,5.52,arterial
N303,N320,42.47,arterial
N303,N306,44.58,arterial
N303,N326,50.47,arterial
N303,N330,52.04,arterial
N304,N305,4.39,arterial
N304,N325,17.42,arterial
N304,N315,20.25,arterial
N304,N333,25.6,arterial
N304,N343,29.29,arterial
N305,N325,13.03,arterial
N305,N315,24.64,arterial
N305,N343,26.12,arterial
N305,N332,28.12,arterial
N306,N313,14.1,arterial
N306,N331,35.0,arterial
N306,N320,44.42,arterial
N306,N337,48.23,arterial
N307,N321,7.97,arterial
N307,N322,13.56,arterial
N307,N316,18.65,arterial
N307,N320,22.06,arterial
N308,N327,21.22,arterial
N308,N340,21.75,arterial
N308,N338,25.94,arterial
N308,N346,47.11,arterial
N308,N344,52.35,arterial
N309,N329,11.93,arterial
N309,N312,21.71,arterial
N309,N336,22.7,arterial
N309,N341,29.38,arterial
N310,N328,15.96,arterial
N302,N310,43.89,arterial
N309,N310,44.88,arterial
N310,N329,52.76,arterial
N310,N312,55.27,arterial
N311,N316,17.81,arterial
N311,N323,27.13,arterial
N311,N334,29.42,arterial
N311,N320,29.58,arterial
N311,N342,31.09,arterial
N312,N341,11.58,arterial
N312,N319,27.03,arterial
N312,N329,30.44,arterial
N313,N331,41.15,arterial
N303,N313,55.02,arterial
N313,N330,57.54,arterial
N313,N337,57.79,arterial
N314,N326,21.52,arterial
N314,N317,31.81,arterial
N314,N336,60.48,arterial
N314,N330,63.19,arterial
N314,N337,66.48,arterial
N315,N333,6.08,arterial
N315,N319,15.31,arterial
N315,N341,24.12,arterial
N316,N320,12.63,arterial
N316,N321,26.3,arterial
N317,N326,51.45,arterial
N317,N330,76.35,arterial
N317,N336,86.73,arterial
N317,N337,94.56,arterial
N318,N345,13.11,arterial
N318,N344,26.75,arterial
N318,N347,28.38,arterial
N318,N346,39.67,arterial
N318,N338,50.13,arterial
N319,N333,9.25,arterial
N319,N341,21.1,arterial
N304,N319,34.54,arterial
N320,N321,27.51,arterial
N321,N322,7.68,arterial
N322,N332,25.8,arterial
N323,N334,6.15,arterial
N323,N335,13.19,arterial
N323,N349,18.92,arterial
N323,N342,25.46,arterial
N324,N339,7.86,arterial
N324,N332,20.18,arterial
N324,N334,23.71,arterial
N324,N347,26.42,arterial
N323,N324,27.8,arterial
N325,N332,15.96,arterial
N325,N343,19.04,arterial
N325,N339,26.31,arterial
N326,N337,45.0,arterial
N326,N330,51.0,arterial
N327,N340,17.58,arterial
N327,N338,26.38,arterial
N327,N346,37.13,arterial
N327,N343,41.63,arterial
N309,N328,41.63,arterial
N312,N328,45.64,arterial
N328,N329,52.0,arterial
N329,N336,10.8,arterial
N329,N341,34.87,arterial
N330,N337,48.91,arterial
N306,N330,59.74,arterial
N311,N331,42.08,arterial
N331,N348,43.19,arterial
N320,N331,43.52,arterial
N332,N339,13.18,arterial
N333,N341,22.19,arterial
N305,N333,29.97,arterial
N334,N335,18.49,arterial
N334,N349,24.97,arterial
N307,N334,27.09,arterial
N335,N349,8.77,arterial
N335,N342,17.19,arterial
N324,N335,32.76,arterial
N302,N336,38.95,arterial
N312,N336,39.31,arterial
N336,N341,41.46,arterial
N320,N337,47.92,arterial
N338,N346,23.67,arterial
N338,N344,29.8,arterial
N338,N343,39.38,arterial
N339,N347,26.94,arterial
N339,N343,29.01,arterial
N338,N340,40.38,arterial
N319,N340,46.45,arterial
N333,N340,49.52,arterial
N342,N349,8.48,arterial
N334,N342,31.61,arterial
N343,N346,18.93,arterial
N332,N343,27.02,arterial
N344,N346,33.57,arterial
N344,N345,39.79,arterial
N344,N347,43.47,arterial
N345,N347,29.66,arterial
N345,N346,49.09,arterial
N324,N345,51.73,arterial
N346,N347,29.17,arterial
N311,N348,44.15,arterial
N342,N348,44.42,arterial
N348,N349,52.4,arterial
N316,N348,59.47,arterial
N311,N349,32.13,arterial
N350,N374,7.85,arterial
N350,N379,13.76,arterial
N350,N353,15.0,arterial
N350,N376,15.82,arterial
N350,N355,16.52,arterial
N351,N382,7.97,arterial
N351,N353,17.02,arterial
N351,N377,18.92,arterial
N351,N379,20.49,arterial
N351,N352,21.31,arterial
N352,N399,6.55,arterial
N352,N358,10.62,arterial
N352,N361,12.7,arterial
N352,N368,20.86,arterial
N353,N379,4.91,arterial
N353,N374,9.15,arterial
N353,N382,16.38,arterial
N354,N380,57.2,arterial
N354,N388,80.28,arterial
N354,N357,138.12,arterial
N354,N365,147.17,arterial
N354,N392,148.14,arterial
N355,N376,7.8,arterial
N355,N356,11.85,arterial
N355,N366,17.74,arterial
N355,N379,22.76,arterial
N356,N366,9.58,arterial
N356,N376,13.63,arterial
N356,N367,14.24,arterial
N356,N393,22.61,arterial
N357,N378,54.31,arterial
N357,N388,58.72,arterial
N357,N392,69.79,arterial
N357,N389,72.68,arterial
N357,N380,81.91,arterial
N358,N399,17.11,arterial
N358,N361,22.79,arterial
N351,N358,26.62,arterial
N358,N382,29.4,arterial
N359,N381,36.78,arterial
N359,N390,45.21,arterial
N359,N395,56.64,arterial
N359,N373,63.56,arterial
N359,N386,64.73,arterial
N360,N398,16.56,arterial
N360,N375,33.21,arterial
N360,N391,37.94,arterial
N360,N371,38.12,arterial
N360,N369,40.32,arterial
N361,N399,6.58,arterial
N361,N368,8.53,arterial
N361,N365,19.45,arterial
N362,N393,23.21,arterial
N362,N397,29.07,arterial
N362,N363,34.71,arterial
N362,N383,35.27,arterial
N362,N367,36.39,arterial
N363,N383,2.29,arterial
N363,N364,12.25,arterial
N363,N369,17.15,arterial
N363,N391,20.85,arterial
N363,N367,29.25,arterial
N364,N369,5.17,arterial
N364,N383,10.46,arterial
N364,N391,13.75,arterial
N364,N367,27.33,arterial
N365,N368,10.98,arterial
N365,N392,14.79,arterial
N365,N399,26.03,arterial
N352,N365,31.83,arterial
N366,N367,9.28,arterial
N366,N376,14.74,arterial
N366,N393,24.55,arterial
N367,N393,17.26,arterial
N367,N376,23.74,arterial
N355,N367,25.3,arterial
N368,N399,15.08,arterial
N368,N392,23.42,arterial
N369,N391,11.25,arterial
N369,N383,15.52,arterial
N367,N369,29.96,arterial
N370,N381,28.92,arterial
N370,N395,37.3,arterial
N370,N385,65.06,arterial
N359,N370,65.67,arterial
N370,N375,74.43,arterial
N371,N398,22.18,arterial
N371,N391,65.78,arterial
N371,N375,67.44,arterial
N369,N371,72.7,arterial
N372,N384,9.17,arterial
N372,N375,11.59,arterial
N372,N385,20.85,arterial
N350,N372,35.64,arterial
N372,N374,36.97,arterial
N373,N390,18.35,arterial
N373,N387,21.3,arterial
N373,N386,28.82,arterial
N358,N373,43.28,arterial
N352,N373,53.8,arterial
N374,N379,10.53,arterial
N374,N377,20.02,arterial
N374,N382,21.46,arterial
N375,N384,20.75,arterial
N375,N385,29.61,arterial
N375,N376,42.9,arterial
N374,N376,23.65,arterial
N377,N382,11.0,arterial
N353,N377,19.88,arterial
N377,N379,24.73,arterial
N378,N389,31.62,arterial
N378,N392,31.99,arterial
N378,N396,42.15,arterial
N378,N397,42.56,arterial
N365,N378,46.16,arterial
N379,N396,17.16,arterial
N380,N388,23.3,arterial
N380,N392,96.26,arterial
N365,N380,98.64,arterial
N381,N395,32.69,arterial
N381,N385,59.06,arterial
N381,N390,70.51,arterial
N379,N382,20.98,arterial
N383,N391,20.36,arterial
N367,N383,27.37,arterial
N384,N385,16.53,arterial
N374,N384,31.21,arterial
N350,N384,31.68,arterial
N385,N395,28.53,arterial
N377,N385,37.65,arterial
N386,N390,31.02,arterial
N377,N386,31.44,arterial
N382,N386,35.49,arterial
N358,N386,35.88,arterial
N387,N390,26.66,arterial
N386,N387,49.58,arterial
N358,N387,61.41,arterial
N359,N387,64.78,arterial
N388,N392,80.04,arterial
N365,N388,85.29,arterial
N389,N397,11.98,arterial
N389,N393,28.41,arterial
N356,N389,38.23,arterial
N362,N389,38.85,arterial
N358,N390,57.6,arterial
N361,N392,30.59,arterial
N392,N396,35.96,arterial
N393,N397,16.56,arterial
N363,N394,41.79,arterial
N383,N394,44.07,arterial
N362,N394,45.38,arterial
N364,N394,52.78,arterial
N391,N394,52.99,arterial
N384,N395,43.55,arterial
N372,N395,43.75,arterial
N353,N396,19.47,arterial
N351,N396,22.05,arterial
N374,N396,27.62,arterial
N382,N396,27.84,arterial
N356,N397,30.48,arterial
N367,N397,31.79,arterial
N391,N398,45.81,arterial
N375,N398,48.63,arterial
N369,N398,51.44,arterial
N351,N399,21.34,arterial
N400,N401,7.69,arterial
N400,N417,8.82,arterial
N400,N425,10.82,arterial
N400,N447,14.95,arterial
N400,N407,21.25,arterial
N401,N417,1.65,arterial
N401,N425,4.64,arterial
N401,N447,22.27,arterial
N401,N421,26.86,arterial
N402,N449,80.61,arterial
N402,N435,87.6,arterial
N402,N446,93.28,arterial
N402,N437,97.27,arterial
N402,N415,105.15,arterial
N403,N445,4.23,arterial
N403,N442,7.98,arterial
N403,N413,19.87,arterial
N403,N440,31.85,arterial
N403,N420,37.38,arterial
N404,N405,13.41,arterial
N404,N423,29.43,arterial
N404,N434,29.6,arterial
N404,N414,33.97,arterial
N404,N429,37.58,arterial
N405,N434,17.3,arterial
N405,N407,26.88,arterial
N405,N423,26.98,arterial
N405,N447,30.77,arterial
N406,N419,5.93,arterial
N406,N412,9.95,arterial
N406,N427,10.21,arterial
N406,N432,12.09,arterial
N406,N436,31.61,arterial
N407,N447,6.42,arterial
N407,N434,18.83,arterial
N401,N407,28.66,arterial
N408,N436,6.88,arterial
N408,N440,23.59,arterial
N408,N427,25.8,arterial
N408,N432,28.34,arterial
N408,N418,29.82,arterial
N409,N411,5.32,arterial
N409,N426,12.98,arterial
N409,N441,21.84,arterial
N409,N443,33.6,arterial
N409,N448,44.86,arterial
N410,N448,11.2,arterial
N410,N428,15.61,arterial
N410,N444,16.74,arterial
N410,N415,19.82,arterial
N410,N437,29.26,arterial
N411,N426,18.25,arterial
N411,N441,20.87,arterial
N411,N443,34.58,arterial
N411,N412,47.35,arterial
N412,N419,10.51,arterial
N412,N427,19.77,arterial
N412,N432,20.69,arterial
N412,N441,28.46,arterial
N413,N420,18.81,arterial
N413,N445,22.68,arterial
N413,N442,27.21,arterial
N413,N440,51.71,arterial
N414,N429,26.97,arterial
N414,N421,33.27,arterial
N405,N414,39.66,arterial
N414,N444,41.23,arterial
N415,N444,7.47,arterial
N415,N437,9.54,arterial
N415,N435,20.68,arterial
N415,N448,30.58,arterial
N416,N439,18.11,arterial
N416,N431,21.76,arterial
N416,N422,27.03,arterial
N416,N423,29.45,arterial
N404,N416,51.05,arterial
N417,N425,3.02,arterial
N417,N447,23.62,arterial
N417,N421,28.26,arterial
N418,N433,20.59,arterial
N418,N440,21.46,arterial
N407,N418,31.04,arterial
N418,N434,32.15,arterial
N419,N427,10.78,arterial
N419,N432,17.16,arterial
N419,N436,33.73,arterial
N420,N445,40.78,arterial
N420,N424,40.94,arterial
N420,N442,45.19,arterial
N421,N429,6.38,arterial
N400,N421,27.05,arterial
N421,N447,28.02,arterial
N422,N439,13.3,arterial
N422,N431,48.71,arterial
N422,N423,54.99,arterial
N422,N430,63.74,arterial
N423,N431,11.63,arterial
N423,N434,24.3,arterial
N413,N424,59.74,arterial
N403,N424,77.7,arterial
N424,N445,81.36,arterial
N424,N438,82.03,arterial
N425,N447,25.77,arterial
N425,N428,29.94,arterial
N426,N441,29.98,arterial
N426,N448,32.01,arterial
N426,N443,32.69,arterial
N427,N432,11.77,arterial
N427,N436,22.99,arterial
N428,N448,6.13,arterial
N428,N444,28.0,arterial
N417,N428,29.27,arterial
N401,N428,29.4,arterial
N429,N447,31.55,arterial
N400,N429,32.73,arterial
N401,N429,33.09,arterial
N430,N439,62.44,arterial
N430,N446,63.05,arterial
N416,N430,78.95,arterial
N404,N430,83.51,arterial
N431,N434,33.47,arterial
N431,N439,38.32,arterial
N405,N431,38.56,arterial
N432,N436,22.97,arterial
N433,N440,14.87,arterial
N433,N442,31.2,arterial
N433,N445,35.57,arterial
N408,N433,37.13,arterial
N434,N447,25.0,arterial
N435,N437,18.19,arterial
N435,N444,28.13,arterial
N410,N435,36.5,arterial
N435,N448,47.65,arterial
N436,N440,28.37,arterial
N437,N444,14.34,arterial
N437,N448,39.79,arterial
N432,N438,55.45,arterial
N412,N438,61.36,arterial
N406,N438,61.5,arterial
N427,N438,66.9,arterial
N419,N438,67.19,arterial
N423,N439,43.02,arterial
N404,N439,56.5,arterial
N440,N442,24.96,arterial
N419,N441,35.9,arterial
N442,N445,4.54,arterial
N443,N448,44.81,arterial
N410,N443,46.0,arterial
N444,N448,26.2,arterial
N440,N445,29.43,arterial
N446,N449,33.41,arterial
N414,N446,59.62,arterial
N437,N446,77.95,arterial
N404,N446,78.0,arterial
N414,N449,42.16,arterial
N437,N449,45.55,arterial
N435,N449,54.17,arterial
N415,N449,54.63,arterial
N450,N451,7.96,arterial
N450,N474,10.5,arterial
N450,N456,11.58,arterial
N450,N487,11.98,arterial
N450,N473,13.85,arterial
N451,N456,4.99,arterial
N451,N487,10.99,arterial
N451,N473,11.74,arterial
N451,N474,18.09,arterial
N452,N475,22.47,arterial
N452,N498,31.95,arterial
N452,N482,38.34,arterial
N452,N491,40.35,arterial
N452,N490,44.05,arterial
N453,N465,9.44,arterial
N453,N489,19.42,arterial
N453,N492,20.42,arterial
N453,N467,23.78,arterial
N453,N477,23.9,arterial
N454,N483,12.63,arterial
N454,N476,14.31,arterial
N454,N479,19.51,arterial
N454,N487,19.81,arterial
N455,N476,26.62,arterial
N454,N455,32.91,arterial
N455,N487,35.52,arterial
N455,N74,40.14,arterial
N455,N479,42.06,arterial
N456,N487,8.55,arterial
N456,N473,16.17,arterial
N456,N476,17.03,arterial
N457,N483,18.07,arterial
N457,N491,21.68,arterial
N456,N457,21.85,arterial
N451,N457,24.38,arterial
N458,N492,13.83,arterial
N458,N464,23.25,arterial
N458,N465,24.81,arterial
N453,N458,33.78,arterial
N458,N467,36.41,arterial
N459,N472,15.97,arterial
N459,N462,24.62,arterial
N460,N62,14.55,arterial
N460,N462,18.59,arterial
N461,N493,25.25,arterial
N461,N96,28.6,arterial
N462,N56,14.47,arterial
N463,N494,32.46,arterial
N452,N463,82.44,arterial
N463,N475,84.74,arterial
N463,N471,90.76,arterial
N463,N89,95.82,arterial
N464,N467,15.71,arterial
N464,N492,16.59,arterial
N464,N465,24.84,arterial
N464,N477,27.6,arterial
N465,N492,12.32,arterial
N465,N467,25.85,arterial
N466,N471,17.56,arterial
N466,N490,26.81,arterial
N466,N495,28.35,arterial
N466,N485,33.1,arterial
N466,N481,35.22,arterial
N467,N477,12.1,arterial
N467,N492,25.03,arterial
N468,N488,16.61,arterial
N468,N98,41.4,arterial
N468,N58,45.54,arterial
N468,N97,46.49,arterial
N469,N86,31.36,arterial
N470,N496,31.97,arterial
N465,N470,50.34,arterial
N453,N470,52.66,arterial
N470,N489,53.15,arterial
N471,N490,14.87,arterial
N471,N495,20.61,arterial
N471,N475,28.98,arterial
N471,N482,30.3,arterial
N473,N491,17.89,arterial
N473,N474,18.62,arterial
N474,N487,21.15,arterial
N456,N474,22.07,arterial
N475,N498,20.21,arterial
N475,N482,21.93,arterial
N475,N490,22.21,arterial
N475,N495,27.39,arterial
N476,N487,9.95,arterial
N451,N476,20.62,arterial
N450,N476,21.6,arterial
N477,N481,22.97,arterial
N477,N480,24.88,arterial
N478,N499,25.39,arterial
N458,N478,38.67,arterial
N478,N496,40.66,arterial
N478,N492,50.5,arterial
N479,N483,16.97,arterial
N480,N481,3.53,arterial
N480,N489,14.01,arterial
N480,N486,20.17,arterial
N453,N480,27.21,arterial
N481,N489,17.18,arterial
N481,N486,21.03,arterial
N453,N481,28.51,arterial
N482,N498,8.44,arterial
N482,N495,13.33,arterial
N482,N490,15.56,arterial
N473,N482,22.15,arterial
N484,N88,30.99,arterial
N484,N67,34.62,arterial
N485,N486,18.48,arterial
N481,N485,33.39,arterial
N480,N485,34.25,arterial
N485,N489,45.41,arterial
N486,N489,28.2,arterial
N466,N486,40.28,arterial
N488,N98,40.95,arterial
N488,N54,53.84,arterial
N488,N97,55.52,arterial
N465,N489,28.09,arterial
N490,N495,7.46,arterial
N490,N498,22.51,arterial
N491,N498,18.59,arterial
N482,N491,24.22,arterial
N451,N491,24.95,arterial
N471,N494,59.77,arterial
N475,N494,59.98,arterial
N452,N494,65.3,arterial
N490,N494,69.42,arterial
N495,N498,21.63,arterial
N496,N499,35.75,arterial
N458,N496,60.36,arterial
N497,N95,28.18,arterial
N497,N82,28.59,arterial
N458,N499,63.07,arterial
N470,N499,65.8,arterial
N199,N49,68.59,highway
N107,N108,71.39,highway
N121,N348,102.92,highway
N340,N420,241.91,highway
N394,N438,189.33,highway
N133,N248,300.37,highway
